lineType,nomDia,dt_mg,dt_corr,massDensity,subWeight,volEqDia,mbl,EA,transDrag_eqDia,longDrag_eqDia,transAddedMass_eqDia,longAddedMass_eqDia
polyester,0.16,0.0,0.0,17.3824,44.345301397257785,0.1264,7884800.0,"[110387200.0, (11.615, 0.396)]",2.0253164556962022,0.0,1.7625380547989102,0.24034609838166954
polyester,0.16,0.05,0.0,61.089807793068005,141.42522678216278,0.24078405262807587,7884800.0,"[110387200.0, (11.615, 0.396)]",1.7276891698578116,0.0,1.28257845875327,0.17489706255726406
polyester,0.16,0.1,0.0,125.61026691616837,284.7336880646415,0.3463769045418589,7884800.0,"[110387200.0, (11.615, 0.396)]",1.6629284240583415,0.0,1.188228139802842,0.16203110997311482
polyester,0.16,0.2,0.0,317.0903391524663,710.0362183223205,0.5513410559717098,7884800.0,"[110387200.0, (11.615, 0.396)]",1.6251283852258147,0.0,1.1348228497317694,0.15474857041796852
polyester,0.168,0.0,0.0,19.164096,48.890694790476715,0.13272,8692992.0,"[121701888.0, (11.615, 0.396)]",2.0253164556962027,0.0,1.7625380547989107,0.24034609838166962
polyester,0.168,0.05,0.0,64.5365478994706,149.66890304718763,0.24741584104499054,8692992.0,"[121701888.0, (11.615, 0.396)]",1.7331145741877794,0.0,1.2906463828079286,0.17599723401926295
polyester,0.168,0.1,0.0,130.72205112897353,296.67564720147226,0.3532910958402433,8692992.0,"[121701888.0, (11.615, 0.396)]",1.6666143215402542,0.0,1.1935014165778866,0.1627501931697118
polyester,0.168,0.2,0.0,325.5322115780766,729.374743202763,0.5585826692621245,8692992.0,"[121701888.0, (11.615, 0.396)]",1.6269749313928858,0.0,1.137403191452724,0.1551004351980987
polyester,0.175,0.0,0.0,20.794375,53.04979903480546,0.13825,9432499.999999998,"[132054999.99999997, (11.615, 0.396)]",2.0253164556962022,0.0,1.7625380547989102,0.24034609838166954
polyester,0.175,0.05,0.0,67.62374049257286,157.06400480434652,0.2532055735958433,9432499.999999998,"[132054999.99999997, (11.615, 0.396)]",1.7377184623207016,0.0,1.2975124998903302,0.17693352271231777
polyester,0.175,0.1,0.0,135.26615731517808,307.30674647146134,0.35932306146419274,9432499.999999998,"[132054999.99999997, (11.615, 0.396)]",1.6698065455500724,0.0,1.198077847467989,0.16337425192745303
polyester,0.175,0.2,0.0,332.9901449504856,746.4778374984123,0.5649009315800426,9432499.999999998,"[132054999.99999997, (11.615, 0.396)]",1.6286041473267463,0.0,1.139682271702682,0.15541121886854753
polyester,0.183,0.0,0.0,22.739030999999997,58.010929628623586,0.14457000000000003,10314612.0,"[144404568.0, (11.615, 0.396)]",2.0253164556962022,0.0,1.7625380547989096,0.24034609838166945
polyester,0.183,0.05,0.0,71.23344059897548,165.7234182699706,0.25980855432414085,10314612.0,"[144404568.0, (11.615, 0.396)]",1.7428217526474528,0.0,1.3051446983012704,0.17797427704108232
polyester,0.183,0.1,0.0,140.5409015279833,319.6644428088913,0.3661973305473431,10314612.0,"[144404568.0, (11.615, 0.396)]",1.673414710817438,0.0,1.2032611225852465,0.1640810621707154
polyester,0.183,0.2,0.0,341.59497737609604,766.2320995794541,0.572101813403873,10314612.0,"[144404568.0, (11.615, 0.396)]",1.630479012905162,0.0,1.142307809639301,0.15576924676899556
polyester,0.186,0.0,0.0,23.490684,59.92851746638789,0.14694000000000002,10655568.0,"[149177952.0, (11.615, 0.396)]",2.0253164556962022,0.0,1.7625380547989102,0.24034609838166954
polyester,0.186,0.05,0.0,72.60948513887644,169.0278621846621,0.26228107747224166,10655568.0,"[149177952.0, (11.615, 0.396)]",1.74469315289598,0.0,1.3079490693509084,0.17835669127512388
polyester,0.186,0.1,0.0,142.54133760778524,324.35574280051003,0.36877006874202795,10655568.0,"[149177952.0, (11.615, 0.396)]",1.674756311180017,0.0,1.205191239070714,0.16434425987327916
polyester,0.186,0.2,0.0,344.8441965357,773.6971117249276,0.574796802009197,10655568.0,"[149177952.0, (11.615, 0.396)]",1.6311851365954504,0.0,1.1432974393886368,0.15590419628026864
polyester,0.19,0.0,0.0,24.5119,62.533803923476796,0.1501,11118800.0,"[155663200.0, (11.615, 0.396)]",2.0253164556962022,0.0,1.7625380547989102,0.24034609838166954
polyester,0.19,0.05,0.0,74.46322319207773,173.48229007765394,0.2655748670337614,11118800.0,"[155663200.0, (11.615, 0.396)]",1.7471532799111362,0.0,1.3116402507244782,0.17886003418970156
polyester,0.19,0.1,0.0,145.22759771418782,330.65931212940484,0.37219619826107847,11118800.0,"[155663200.0, (11.615, 0.396)]",1.6765351256013983,0.0,1.2077527461378221,0.16469355629152121
polyester,0.19,0.2,0.0,349.1955007485052,783.698963925628,0.5783856931148973,11118800.0,"[155663200.0, (11.615, 0.396)]",1.6321288912180492,0.0,1.144620777071689,0.15608465141886668
polyester,0.196,0.0,0.0,26.084464000000004,66.54566790925998,0.15484,11832128.000000002,"[165649792.00000003, (11.615, 0.396)]",2.0253164556962027,0.0,1.7625380547989107,0.24034609838166962
polyester,0.196,0.05,0.0,77.28457027187967,180.26786621729156,0.27050956655911457,11832128.000000002,"[165649792.00000003, (11.615, 0.396)]",1.7507698748853826,0.0,1.3170760430807795,0.17960127860192446
polyester,0.196,0.1,0.0,149.2977278737917,340.2186004228969,0.3773266828624766,11832128.000000002,"[165649792.00000003, (11.615, 0.396)]",1.6791815389078295,0.0,1.2115686346366223,0.16521390472317576
polyester,0.196,0.2,0.0,355.763197067713,798.8056765268291,0.5837597327668296,11832128.000000002,"[165649792.00000003, (11.615, 0.396)]",1.6335487812430112,0.0,1.1466131963947575,0.15635634496292147
polyester,0.2,0.0,0.0,27.160000000000004,69.28953343321521,0.15800000000000003,12320000.000000002,"[172480000.00000003, (11.615, 0.396)]",2.0253164556962022,0.0,1.7625380547989102,0.24034609838166954
polyester,0.2,0.05,0.0,79.19262832508096,184.86087317714976,0.27379554415658414,12320000.000000002,"[172480000.00000003, (11.615, 0.396)]",1.7531329864356275,0.0,1.3206339042740518,0.18008644149191616
polyester,0.2,0.1,0.0,152.0383079801943,346.660748818658,0.3807413820429821,12320000.000000002,"[172480000.00000003, (11.615, 0.396)]",1.680931020856961,0.0,1.214094533815292,0.16555834552026708
polyester,0.2,0.2,0.0,360.1688212805181,808.946107794396,0.5873363601889466,12320000.000000002,"[172480000.00000003, (11.615, 0.396)]",1.6344978194286615,0.0,1.1479458726127947,0.1565380735381084
polyester,0.203,0.0,0.0,27.980911000000003,71.38380958123415,0.16037000000000004,12692372.0,"[177693208.0, (11.615, 0.396)]",2.0253164556962022,0.0,1.7625380547989102,0.24034609838166954
polyester,0.203,0.05,0.0,80.63793086498195,188.3420054020959,0.276258098342836,12692372.0,"[177693208.0, (11.615, 0.396)]",1.754880681899011,0.0,1.3232682923720984,0.18044567623255883
polyester,0.203,0.1,0.0,154.10800205999624,351.52873712053145,0.38329953939445327,12692372.0,"[177693208.0, (11.615, 0.396)]",1.6822352591883416,0.0,1.2159793023367629,0.16581535940955858
polyester,0.203,0.2,0.0,363.48729844012195,816.5878082501238,0.5900157090281579,12692372.0,"[177693208.0, (11.615, 0.396)]",1.6352106990323472,0.0,1.1489474348643918,0.15667465020878066
polyester,0.21,0.0,0.0,29.943899999999996,76.39171061011982,0.1659,13582799.999999998,"[190159199.99999997, (11.615, 0.396)]",2.0253164556962027,0.0,1.7625380547989107,0.24034609838166962
polyester,0.21,0.05,0.0,84.05783345808419,196.58590394381173,0.28199789006302867,13582799.999999998,"[190159199.99999997, (11.615, 0.396)]",1.7588784082361049,0.0,1.3293041329902704,0.18126874540776408
