,condName,__name__,MooringFile,SeaStFile|WaveHs,SeaStFile|WaveTp,SeaStFile|WaveDir,SeaStFile|WaveSeed(1),InflowFile|PropagationDir,InflowFile|FileName_BTS,InflowFile|RotorApexOffsetPos,EDFile|NacYaw,EDFile|RotSpeed,EDFile|PtfmSurge,EDFile|BlPitch(1),EDFile|BlPitch(2),EDFile|BlPitch(3),ServoFile|PCMode,HydroFile|DiffQTF,windSpeed,windShear
0,1,Run_P200_C142_L1430_clump40_1_S1,"""Moordyn_P200_C142_L1430_clump40_1.dat""",1.93014,7.44086,-14.359,-1521838957,34.39,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_1_seed1.bts""",0 0 0,-34.39,,,,,,,0.0,11.1524,0.14
1,2,Run_P200_C142_L1430_clump40_2_S1,"""Moordyn_P200_C142_L1430_clump40_2.dat""",2.86339,8.92557,-13.178,1163007584,35.816,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_2_seed1.bts""",0 0 0,-35.816,,,,,,,0.0,13.4155,0.14
2,3,Run_P200_C142_L1430_clump40_3_S1,"""Moordyn_P200_C142_L1430_clump40_3.dat""",1.48861,7.81407,7.834,882672604,34.287,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_3_seed1.bts""",0 0 0,-34.287,,,,,,,0.0,9.81267,0.14
3,4,Run_P200_C142_L1430_clump40_4_S1,"""Moordyn_P200_C142_L1430_clump40_4.dat""",2.44239,11.2402,24.818,996256205,32.366,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_4_seed1.bts""",0 0 0,-32.366,,,,,,,0.0,12.5141,0.14
4,5,Run_P200_C142_L1430_clump40_5_S1,"""Moordyn_P200_C142_L1430_clump40_5.dat""",2.00784,13.0567,32.967,1288578060,41.13,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_5_seed1.bts""",0 0 0,-41.13,,,,,,,0.0,7.14479,0.14
5,6,Run_P200_C142_L1430_clump40_6_S1,"""Moordyn_P200_C142_L1430_clump40_6.dat""",2.46889,11.5244,0.81,141310512,36.901,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_6_seed1.bts""",0 0 0,-36.901,,,,,,,0.0,8.37364,0.14
6,7,Run_P200_C142_L1430_clump40_7_S1,"""Moordyn_P200_C142_L1430_clump40_7.dat""",1.44362,8.43307,-4.634,-189211001,31.408,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_7_seed1.bts""",0 0 0,-31.408,,,,,,,0.0,4.87918,0.14
7,8,Run_P200_C142_L1430_clump40_8_S1,"""Moordyn_P200_C142_L1430_clump40_8.dat""",1.72633,11.2183,28.356,1920185420,20.028,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_8_seed1.bts""",0 0 0,-20.028,,,,,,,0.0,4.74585,0.14
8,9,Run_P200_C142_L1430_clump40_9_S1,"""Moordyn_P200_C142_L1430_clump40_9.dat""",1.28708,9.4058,35.976,-707163026,36.371,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_9_seed1.bts""",0 0 0,-36.371,,,,,,,0.0,7.99299,0.14
9,10,Run_P200_C142_L1430_clump40_10_S1,"""Moordyn_P200_C142_L1430_clump40_10.dat""",3.52561,8.93552,-11.98,-1381000505,31.312,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_10_seed1.bts""",0 0 0,-31.312,,,,,,,0.0,19.4352,0.14
10,11,Run_P200_C142_L1430_clump40_11_S1,"""Moordyn_P200_C142_L1430_clump40_11.dat""",1.53413,10.4771,21.535,-657110870,54.9163,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_11_seed1.bts""",0 0 0,-54.9163,,,,,,,0.0,4.42059,0.14
11,12,Run_P200_C142_L1430_clump40_12_S1,"""Moordyn_P200_C142_L1430_clump40_12.dat""",3.82171,14.1382,26.151,542547318,37.621,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_12_seed1.bts""",0 0 0,-37.621,,,,,,,0.0,7.25115,0.14
