,0,1
0,Wind1VelX,min
1,Wind1VelY,min
2,Wind1VelZ,min
3,Azimuth,min
4,BldPitch1,min
5,BldPitch2,min
6,BldPitch3,min
7,GenSpeed,min
8,NacYaw,min
9,OoPDefl1,min
10,PtfmHeave,min
11,PtfmPitch,min
12,PtfmRoll,min
13,PtfmSurge,min
14,PtfmSway,min
15,PtfmYaw,min
16,RotSpeed,min
17,RotThrust,min
18,RotTorq,min
19,TwHt1TPxi,min
20,TwHt1TPyi,min
21,TwrBsFxt,min
22,TwrBsFyt,min
23,TwrBsFzt,min
24,TwrBsMxt,min
25,TwrBsMyt,min
26,TwrBsMzt,min
27,B1N001TDx,min
28,B1N002TDx,min
29,B1N003TDx,min
30,B1N004TDx,min
31,B1N005TDx,min
32,B1N006TDx,min
33,B1N007TDx,min
34,B1N008TDx,min
35,B1N009TDx,min
36,B1N010TDx,min
37,B1N011TDx,min
38,B1N012TDx,min
39,B1N013TDx,min
40,B1N014TDx,min
41,B1N015TDx,min
42,B1N016TDx,min
43,B1N017TDx,min
44,B1N018TDx,min
45,B1N019TDx,min
46,B1N020TDx,min
47,B1N021TDx,min
48,B1N022TDx,min
49,B1N023TDx,min
50,B1N024TDx,min
51,B1N025TDx,min
52,B1N026TDx,min
53,B1N027TDx,min
54,B1N028TDx,min
55,B1N029TDx,min
56,B1N030TDx,min
57,B1N031TDx,min
58,B1N032TDx,min
59,B1N033TDx,min
60,B1N034TDx,min
61,B1N035TDx,min
62,B1N036TDx,min
63,B1N037TDx,min
64,B1N038TDx,min
65,B1N039TDx,min
66,B1N040TDx,min
67,B1N041TDx,min
68,B1N042TDx,min
69,B1N043TDx,min
70,B1N044TDx,min
71,B1N045TDx,min
72,B1N046TDx,min
73,B1N047TDx,min
74,B1N048TDx,min
75,B1N049TDx,min
76,B1N050TDx,min
77,B1N001TDy,min
78,B1N002TDy,min
79,B1N003TDy,min
80,B1N004TDy,min
81,B1N005TDy,min
82,B1N006TDy,min
83,B1N007TDy,min
84,B1N008TDy,min
85,B1N009TDy,min
86,B1N010TDy,min
87,B1N011TDy,min
88,B1N012TDy,min
89,B1N013TDy,min
90,B1N014TDy,min
91,B1N015TDy,min
92,B1N016TDy,min
93,B1N017TDy,min
94,B1N018TDy,min
95,B1N019TDy,min
96,B1N020TDy,min
97,B1N021TDy,min
98,B1N022TDy,min
99,B1N023TDy,min
100,B1N024TDy,min
101,B1N025TDy,min
102,B1N026TDy,min
103,B1N027TDy,min
104,B1N028TDy,min
105,B1N029TDy,min
106,B1N030TDy,min
107,B1N031TDy,min
108,B1N032TDy,min
109,B1N033TDy,min
110,B1N034TDy,min
111,B1N035TDy,min
112,B1N036TDy,min
113,B1N037TDy,min
114,B1N038TDy,min
115,B1N039TDy,min
116,B1N040TDy,min
117,B1N041TDy,min
118,B1N042TDy,min
119,B1N043TDy,min
120,B1N044TDy,min
121,B1N045TDy,min
122,B1N046TDy,min
123,B1N047TDy,min
124,B1N048TDy,min
125,B1N049TDy,min
126,B1N050TDy,min
127,B1N001RDz,min
128,B1N002RDz,min
129,B1N003RDz,min
130,B1N004RDz,min
131,B1N005RDz,min
132,B1N006RDz,min
133,B1N007RDz,min
134,B1N008RDz,min
135,B1N009RDz,min
136,B1N010RDz,min
137,B1N011RDz,min
138,B1N012RDz,min
139,B1N013RDz,min
140,B1N014RDz,min
141,B1N015RDz,min
142,B1N016RDz,min
143,B1N017RDz,min
144,B1N018RDz,min
145,B1N019RDz,min
146,B1N020RDz,min
147,B1N021RDz,min
148,B1N022RDz,min
149,B1N023RDz,min
150,B1N024RDz,min
151,B1N025RDz,min
152,B1N026RDz,min
153,B1N027RDz,min
154,B1N028RDz,min
155,B1N029RDz,min
156,B1N030RDz,min
157,B1N031RDz,min
158,B1N032RDz,min
159,B1N033RDz,min
160,B1N034RDz,min
161,B1N035RDz,min
162,B1N036RDz,min
